DATE_KEY,DAY_OF_WEEK,CALENDAR_MONTH,CALENDAR_QUARTER,CALENDAR_YEAR,FISCAL_WEEK,FISCAL_MONTH,FISCAL_MONTH_NAME,FISCAL_QUARTER,FISCAL_YEAR
2018-01-25 00:00:00,THURSDAY ,201801,20181,2018,201804,201801,Jan 2018,20181,2018
2018-01-27 00:00:00,SATURDAY ,201801,20181,2018,201804,201801,Jan 2018,20181,2018
2018-01-29 00:00:00,MONDAY   ,201801,20181,2018,201805,201801,Jan 2018,20181,2018
2018-01-31 00:00:00,WEDNESDAY,201801,20181,2018,201805,201801,Jan 2018,20181,2018
2018-02-01 00:00:00,THURSDAY ,201802,20181,2018,201805,201801,Jan 2018,20181,2018
2018-02-03 00:00:00,SATURDAY ,201802,20181,2018,201805,201801,Jan 2018,20181,2018
2018-02-04 00:00:00,SUNDAY   ,201802,20181,2018,201806,201802,Feb 2018,20181,2018
2018-02-06 00:00:00,TUESDAY  ,201802,20181,2018,201806,201802,Feb 2018,20181,2018
2018-02-07 00:00:00,WEDNESDAY,201802,20181,2018,201806,201802,Feb 2018,20181,2018
2018-02-09 00:00:00,FRIDAY   ,201802,20181,2018,201806,201802,Feb 2018,20181,2018
2018-02-10 00:00:00,SATURDAY ,201802,20181,2018,201806,201802,Feb 2018,20181,2018
2018-02-11 00:00:00,SUNDAY   ,201802,20181,2018,201807,201802,Feb 2018,20181,2018
2018-02-12 00:00:00,MONDAY   ,201802,20181,2018,201807,201802,Feb 2018,20181,2018
2018-02-13 00:00:00,TUESDAY  ,201802,20181,2018,201807,201802,Feb 2018,20181,2018
2018-02-16 00:00:00,FRIDAY   ,201802,20181,2018,201807,201802,Feb 2018,20181,2018
2018-02-17 00:00:00,SATURDAY ,201802,20181,2018,201807,201802,Feb 2018,20181,2018
2018-02-18 00:00:00,SUNDAY   ,201802,20181,2018,201808,201802,Feb 2018,20181,2018
2018-02-20 00:00:00,TUESDAY  ,201802,20181,2018,201808,201802,Feb 2018,20181,2018
2018-02-26 00:00:00,MONDAY   ,201802,20181,2018,201809,201802,Feb 2018,20181,2018
2018-02-27 00:00:00,TUESDAY  ,201802,20181,2018,201809,201802,Feb 2018,20181,2018
2018-02-28 00:00:00,WEDNESDAY,201802,20181,2018,201809,201802,Feb 2018,20181,2018
2018-03-01 00:00:00,THURSDAY ,201803,20181,2018,201809,201802,Feb 2018,20181,2018
2018-03-05 00:00:00,MONDAY   ,201803,20181,2018,201810,201803,Mar 2018,20181,2018
2018-03-06 00:00:00,TUESDAY  ,201803,20181,2018,201810,201803,Mar 2018,20181,2018
2018-03-07 00:00:00,WEDNESDAY,201803,20181,2018,201810,201803,Mar 2018,20181,2018
2018-03-09 00:00:00,FRIDAY   ,201803,20181,2018,201810,201803,Mar 2018,20181,2018
2018-03-10 00:00:00,SATURDAY ,201803,20181,2018,201810,201803,Mar 2018,20181,2018
2018-03-12 00:00:00,MONDAY   ,201803,20181,2018,201811,201803,Mar 2018,20181,2018
2018-03-13 00:00:00,TUESDAY  ,201803,20181,2018,201811,201803,Mar 2018,20181,2018
2018-03-14 00:00:00,WEDNESDAY,201803,20181,2018,201811,201803,Mar 2018,20181,2018
2018-03-15 00:00:00,THURSDAY ,201803,20181,2018,201811,201803,Mar 2018,20181,2018
2018-03-16 00:00:00,FRIDAY   ,201803,20181,2018,201811,201803,Mar 2018,20181,2018
2018-03-18 00:00:00,SUNDAY   ,201803,20181,2018,201812,201803,Mar 2018,20181,2018
2018-03-21 00:00:00,WEDNESDAY,201803,20181,2018,201812,201803,Mar 2018,20181,2018
2018-03-24 00:00:00,SATURDAY ,201803,20181,2018,201812,201803,Mar 2018,20181,2018
2018-03-26 00:00:00,MONDAY   ,201803,20181,2018,201813,201803,Mar 2018,20181,2018
2018-03-31 00:00:00,SATURDAY ,201803,20181,2018,201813,201803,Mar 2018,20181,2018
2018-04-01 00:00:00,SUNDAY   ,201804,20182,2018,201814,201803,Mar 2018,20181,2018
2018-04-02 00:00:00,MONDAY   ,201804,20182,2018,201814,201803,Mar 2018,20181,2018
2018-04-03 00:00:00,TUESDAY  ,201804,20182,2018,201814,201803,Mar 2018,20181,2018
2018-04-04 00:00:00,WEDNESDAY,201804,20182,2018,201814,201803,Mar 2018,20181,2018
2018-04-06 00:00:00,FRIDAY   ,201804,20182,2018,201814,201803,Mar 2018,20181,2018
2018-04-07 00:00:00,SATURDAY ,201804,20182,2018,201814,201803,Mar 2018,20181,2018
2018-04-08 00:00:00,SUNDAY   ,201804,20182,2018,201815,201804,Apr 2018,20182,2018
2018-04-09 00:00:00,MONDAY   ,201804,20182,2018,201815,201804,Apr 2018,20182,2018
